mu_B,pressure,energy_density
961.20000,1.54069,101.68789
961.30000,1.55144,101.92344
961.40000,1.56222,102.15854
961.50000,1.57302,102.39306
961.60000,1.58385,102.62694
961.70000,1.59470,102.86053
961.80000,1.60557,103.09360
961.90000,1.61647,103.32598
962.00000,1.62739,103.55828
962.10000,1.63834,103.79009
962.20000,1.64931,104.02132
962.30000,1.66030,104.25199
962.40000,1.67132,104.48218
962.50000,1.68236,104.71189
962.60000,1.69343,104.94105
962.70000,1.70452,105.16971
962.80000,1.71563,105.39771
962.90000,1.72677,105.62514
963.00000,1.73793,105.85230
963.10000,1.74911,106.07907
963.20000,1.76032,106.30515
963.30000,1.77155,106.53067
963.40000,1.78281,106.75574
963.50000,1.79408,106.98049
963.60000,1.80538,107.20469
963.70000,1.81671,107.42842
963.80000,1.82806,107.65171
963.90000,1.83943,107.87458
964.00000,1.85082,108.09723
964.10000,1.86224,108.31938
964.20000,1.87368,108.54076
964.30000,1.88514,108.76172
964.40000,1.89663,108.98229
964.50000,1.90814,109.20264
964.60000,1.91967,109.42231
964.70000,1.93122,109.64148
964.80000,1.94280,109.86034
964.90000,1.95440,110.07892
965.00000,1.96602,110.29724
965.10000,1.97767,110.51484
965.20000,1.98933,110.73185
965.30000,2.00102,110.94864
965.40000,2.01274,111.16508
965.50000,2.02447,111.38124
965.60000,2.03623,111.59673
965.70000,2.04801,111.81188
965.80000,2.05981,112.02647
965.90000,2.07163,112.24073
966.00000,2.08348,112.45457
966.10000,2.09535,112.66797
966.20000,2.10724,112.88092
966.30000,2.11915,113.09367
966.40000,2.13108,113.30605
966.50000,2.14304,113.51795
966.60000,2.15502,113.72966
966.70000,2.16702,113.94075
966.80000,2.17904,114.15121
966.90000,2.19108,114.36140
967.00000,2.20315,114.57137
967.10000,2.21523,114.78074
967.20000,2.22734,114.98984
967.30000,2.23947,115.19866
967.40000,2.25162,115.40702
967.50000,2.26380,115.61495
967.60000,2.27599,115.82276
967.70000,2.28821,116.02992
967.80000,2.30045,116.23698
967.90000,2.31271,116.44360
968.00000,2.32499,116.64999
